i,similarity_value,model_name
5451,0.7531576,ViT-B-32
5501,0.7547608,ViT-B-32
5551,0.7542658,ViT-B-32
5601,0.7556162,ViT-B-32
5651,0.7551106,ViT-B-32
5701,0.75493187,ViT-B-32
5751,0.7532668,ViT-B-32
5801,0.75230384,ViT-B-32
5851,0.7519182,ViT-B-32
5901,0.75157386,ViT-B-32
5951,0.7524212,ViT-B-32
6001,0.7521727,ViT-B-32
6051,0.75102854,ViT-B-32
6101,0.75001645,ViT-B-32
6151,0.74897975,ViT-B-32
6201,0.7515216,ViT-B-32
6251,0.7512316,ViT-B-32
6301,0.7527223,ViT-B-32
6351,0.7525394,ViT-B-32
6401,0.7515334,ViT-B-32
6451,0.75266683,ViT-B-32
6501,0.7524271,ViT-B-32
6551,0.7522063,ViT-B-32
6601,0.7513212,ViT-B-32
6651,0.7507903,ViT-B-32
6701,0.7499447,ViT-B-32
6751,0.7500429,ViT-B-32
6801,0.74922293,ViT-B-32
6851,0.74897194,ViT-B-32
6901,0.74574965,ViT-B-32
6951,0.744707,ViT-B-32
7001,0.74478424,ViT-B-32
7051,0.74554956,ViT-B-32
7101,0.74581814,ViT-B-32
7151,0.7469369,ViT-B-32
7201,0.74666286,ViT-B-32
7251,0.7466514,ViT-B-32
7301,0.7466154,ViT-B-32
7351,0.7474419,ViT-B-32
7401,0.75054955,ViT-B-32
7451,0.7511007,ViT-B-32
7501,0.7508896,ViT-B-32
7551,0.7523047,ViT-B-32
7601,0.7528384,ViT-B-32
7651,0.7517593,ViT-B-32
7701,0.7513634,ViT-B-32
7751,0.7514658,ViT-B-32
7801,0.75129604,ViT-B-32
7851,0.75105065,ViT-B-32
7901,0.75002736,ViT-B-32
7951,0.7504773,ViT-B-32
8001,0.75042623,ViT-B-32
8051,0.750589,ViT-B-32
8101,0.7501763,ViT-B-32
8151,0.750794,ViT-B-32
8201,0.7534344,ViT-B-32
8251,0.7532673,ViT-B-32
8301,0.7524214,ViT-B-32
8351,0.7529822,ViT-B-32
8401,0.7530729,ViT-B-32
8451,0.7495081,ViT-B-32
8501,0.74889284,ViT-B-32
8551,0.7520397,ViT-B-32
8601,0.75287217,ViT-B-32
8651,0.7524558,ViT-B-32
8701,0.7525685,ViT-B-32
8751,0.7528387,ViT-B-32
8801,0.75334275,ViT-B-32
8851,0.7539549,ViT-B-32
8901,0.75488627,ViT-B-32
8951,0.75588846,ViT-B-32
9001,0.7564466,ViT-B-32
9051,0.7568418,ViT-B-32
9101,0.7567423,ViT-B-32
9151,0.7565373,ViT-B-32
9201,0.7578068,ViT-B-32
9251,0.7585448,ViT-B-32
9301,0.75887656,ViT-B-32
9351,0.75790685,ViT-B-32
9401,0.75815374,ViT-B-32
9451,0.758145,ViT-B-32
9501,0.75848365,ViT-B-32
9551,0.7578407,ViT-B-32
9601,0.7573049,ViT-B-32
9651,0.75739634,ViT-B-32
9701,0.7573836,ViT-B-32
9751,0.75541836,ViT-B-32
9801,0.75569886,ViT-B-32
9851,0.75510913,ViT-B-32
9901,0.7533031,ViT-B-32
9951,0.7530202,ViT-B-32
10001,0.7510396,ViT-B-32
10051,0.7513931,ViT-B-32
10101,0.7505524,ViT-B-32
10151,0.75093585,ViT-B-32
10201,0.75013405,ViT-B-32
10251,0.75032353,ViT-B-32
10301,0.7502142,ViT-B-32
10351,0.7504455,ViT-B-32
10401,0.7504896,ViT-B-32
10451,0.7500185,ViT-B-32
10501,0.7497983,ViT-B-32
10551,0.74990517,ViT-B-32
